"PRODUCT NUMBER MANIFEST",,,"(Unofficial version, 10 August 2006)",,,,,,,,,
,,,,,,,,,,,,
"Product No.","Product Name",,,"Legacy Code",,,,,,,,
20254,,,,"F=MNIEUR",,"<topic human="""" code=""F=MNIEUR"" num=""20254"" />",,,,,,
20255,,,,"F=MNDEUR",,"<topic human="""" code=""F=MNDEUR"" num=""20255"" />",,,,,,
20256,,,,"F=EUTEST",,"<topic human="""" code=""F=EUTEST"" num=""20256"" />",,,,,,
20257,,,,"F=BOECOM",,"<topic human="""" code=""F=BOECOM"" num=""20257"" />",,,,,,
20258,,,,"F=MNDUSA",,"<topic human="""" code=""F=MNDUSA"" num=""20258"" />",,,,,,
20259,,,,"F=UTA100",,"<topic human="""" code=""F=UTA100"" num=""20259"" />",,,,,,
20260,,,,"F=UECIA0",,"<topic human="""" code=""F=UECIA0"" num=""20260"" />",,,,,,
20261,,,,"F=SEPERM",,"<topic human="""" code=""F=SEPERM"" num=""20261"" />",,,,,,
20262,,,,"F=MNMENU",,"<topic human="""" code=""F=MNMENU"" num=""20262"" />",,,,,,
20263,,,,"F=MNIFIB",,"<topic human="""" code=""F=MNIFIB"" num=""20263"" />",,,,,,
20264,,,,"F=MNDFIB",,"<topic human="""" code=""F=MNDFIB"" num=""20264"" />",,,,,,
20265,,,,"F=BULIND",,"<topic human="""" code=""F=BULIND"" num=""20265"" />",,,,,,
20266,,,,"F=XCLUSV",,"<topic human="""" code=""F=XCLUSV"" num=""20266"" />",,,,,,
20267,,,,"F=WILD00",,"<topic human="""" code=""F=WILD00"" num=""20267"" />",,,,,,
20268,"US Interest Rate Swaps",,,"F=USREPO",,"<topic human=""US Interest Rate Swaps"" code=""F=USREPO"" num=""20268"" />",,,,,,
20269,,,,"F=UKXVHI",,"<topic human="""" code=""F=UKXVHI"" num=""20269"" />",,,,,,
20270,"UK Forecast Highlights",,,"F=UKSVHI",,"<topic human=""UK Forecast Highlights"" code=""F=UKSVHI"" num=""20270"" />",,,,,,
20271,,,,"F=UKIVHI",,"<topic human="""" code=""F=UKIVHI"" num=""20271"" />",,,,,,
20272,"???",,,"F=TOPSTY",,"<topic human=""???"" code=""F=TOPSTY"" num=""20272"" />",,,,,,
20273,,,,"F=MNIFXB",,"<topic human="""" code=""F=MNIFXB"" num=""20273"" />",,,,,,
20274,,,,"F=MNDFXB",,"<topic human="""" code=""F=MNDFXB"" num=""20274"" />",,,,,,
20275,,,,"F=MNIEDS",,"<topic human="""" code=""F=MNIEDS"" num=""20275"" />",,,,,,
20276,,,,"F=BULX10",,"<topic human="""" code=""F=BULX10"" num=""20276"" />",,,,,,
20277,,,,"F=USMRSU",,"<topic human="""" code=""F=USMRSU"" num=""20277"" />",,,,,,
20278,,,,"F=EURTST",,"<topic human="""" code=""F=EURTST"" num=""20278"" />",,,,,,
20279,"Credit Default Swaps",,,"F=GILTS0",,"<topic human=""Credit Default Swaps"" code=""F=GILTS0"" num=""20279"" />",,,,,,
20280,,,,"F=EUDSUT",,"<topic human="""" code=""F=EUDSUT"" num=""20280"" />",,,,,,
20281,,,,"F=EUDTDE",,"<topic human="""" code=""F=EUDTDE"" num=""20281"" />",,,,,,
20282,,,,"F=RELCAL",,"<topic human="""" code=""F=RELCAL"" num=""20282"" />",,,,,,
20283,,,,"F=WLDWTC",,"<topic human="""" code=""F=WLDWTC"" num=""20283"" />",,,,,,
20284,,,,"F=BULLEB",,"<topic human="""" code=""F=BULLEB"" num=""20284"" />",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
30001,"ADVISORY",,,"S=X10001",,"<topic human="""" code=""S=X10001"" num=""30001"" />",,,,,,
30002,"ANALYSIS",,,"S=X10002",,"<topic human="""" code=""S=X10002"" num=""30002"" />",,,,,,
